From,To,Length(m),Azimuth(deg),Clino(deg)
320@byaki_05.byaki,-,3.63,36.80,6.80
320@byaki_05.byaki,-,3.63,40.90,8.00
320@byaki_05.byaki,-,3.50,32.10,6.60
320@byaki_05.byaki,-,3.31,25.00,7.50
320@byaki_05.byaki,-,3.29,15.20,7.40
320@byaki_05.byaki,-,3.28,11.30,7.90
320@byaki_05.byaki,-,3.31,7.20,3.00
320@byaki_05.byaki,-,3.18,338.00,5.70
320@byaki_05.byaki,-,4.36,333.80,-1.80
320@byaki_05.byaki,-,3.57,324.90,3.80
320@byaki_05.byaki,-,3.30,315.80,8.40
320@byaki_05.byaki,-,3.09,300.20,9.10
320@byaki_05.byaki,-,3.53,298.60,6.10
320@byaki_05.byaki,-,4.07,301.60,11.50
320@byaki_05.byaki,-,4.42,330.00,-5.30
320@byaki_05.byaki,-,4.33,330.00,-4.30
320@byaki_05.byaki,-,3.87,326.20,-4.40
320@byaki_05.byaki,-,3.81,321.50,-2.30
320@byaki_05.byaki,-,3.80,315.70,-1.30
320@byaki_05.byaki,-,3.84,312.10,-0.30
320@byaki_05.byaki,-,3.91,308.60,-0.30
320@byaki_05.byaki,-,4.15,302.50,1.90
320@byaki_05.byaki,-,4.33,299.80,1.00
320@byaki_05.byaki,-,4.15,332.40,0.70
320@byaki_05.byaki,-,4.13,327.50,2.00
320@byaki_05.byaki,52@byaki_05.byaki,9.48,6.90,-1.80
52@byaki_05.byaki,-,3.12,173.80,1.70
52@byaki_05.byaki,-,5.00,177.70,2.70
52@byaki_05.byaki,-,5.15,182.20,2.10
52@byaki_05.byaki,-,5.60,186.50,1.20
52@byaki_05.byaki,-,9.73,190.60,-0.10
52@byaki_05.byaki,-,10.18,193.80,0.60
52@byaki_05.byaki,-,10.44,197.40,0.40
52@byaki_05.byaki,-,11.96,201.20,0.40
52@byaki_05.byaki,-,12.55,202.00,0.60
52@byaki_05.byaki,-,12.45,204.20,0.40
52@byaki_05.byaki,-,5.34,207.50,0.80
52@byaki_05.byaki,-,6.90,208.70,0.80
52@byaki_05.byaki,-,6.48,211.00,0.40
52@byaki_05.byaki,-,6.42,213.40,0.20
52@byaki_05.byaki,-,6.58,216.80,-0.00
52@byaki_05.byaki,-,7.11,218.80,-0.00
52@byaki_05.byaki,-,7.21,220.50,-0.40
52@byaki_05.byaki,-,7.47,223.10,-0.90
52@byaki_05.byaki,-,8.97,233.00,-0.00
52@byaki_05.byaki,-,8.73,237.30,-0.70
52@byaki_05.byaki,-,8.81,239.80,-0.70
52@byaki_05.byaki,-,8.46,243.00,-1.50
52@byaki_05.byaki,-,8.60,245.50,-1.90
52@byaki_05.byaki,-,7.73,247.10,-3.00
52@byaki_05.byaki,-,5.09,249.00,-2.10
52@byaki_05.byaki,-,4.41,253.20,-1.70
52@byaki_05.byaki,-,4.28,260.70,-1.50
52@byaki_05.byaki,-,4.24,265.90,-1.40
52@byaki_05.byaki,-,4.28,268.80,-1.30
52@byaki_05.byaki,-,4.44,272.40,-1.60
52@byaki_05.byaki,-,4.20,276.00,-1.50
52@byaki_05.byaki,-,4.19,278.00,-2.00
52@byaki_05.byaki,-,4.23,281.70,-2.80
52@byaki_05.byaki,-,3.39,305.70,-1.40
52@byaki_05.byaki,-,3.24,316.60,0.90
52@byaki_05.byaki,-,3.38,320.60,1.10
52@byaki_05.byaki,-,3.56,325.30,1.80
52@byaki_05.byaki,-,8.72,358.50,-0.50
52@byaki_05.byaki,-,8.57,3.40,1.50
52@byaki_05.byaki,-,9.17,8.20,1.80
52@byaki_05.byaki,-,9.15,13.10,1.30
52@byaki_05.byaki,53@byaki_05.byaki,5.08,248.50,-1.30
53@byaki_05.byaki,-,5.09,67.90,1.10
53@byaki_05.byaki,-,5.16,73.50,1.30
53@byaki_05.byaki,-,5.33,78.10,2.20
53@byaki_05.byaki,-,5.13,75.50,1.90
53@byaki_05.byaki,-,5.34,83.90,3.10
53@byaki_05.byaki,-,5.09,92.90,3.40
53@byaki_05.byaki,-,5.21,94.90,0.90
53@byaki_05.byaki,-,5.09,98.00,2.50
53@byaki_05.byaki,-,5.08,103.60,3.00
53@byaki_05.byaki,-,5.37,108.10,3.20
53@byaki_05.byaki,-,5.48,110.40,3.60
53@byaki_05.byaki,-,5.64,115.40,3.60
53@byaki_05.byaki,-,5.66,118.60,3.50
53@byaki_05.byaki,-,5.69,121.40,3.70
53@byaki_05.byaki,-,5.69,123.90,3.90
53@byaki_05.byaki,-,5.72,126.40,3.60
53@byaki_05.byaki,-,5.61,132.00,-0.40
53@byaki_05.byaki,-,5.83,130.50,2.00
53@byaki_05.byaki,-,8.70,149.90,3.20
53@byaki_05.byaki,-,8.71,148.60,6.10
53@byaki_05.byaki,-,8.30,152.40,4.50
53@byaki_05.byaki,-,8.23,155.10,4.30
53@byaki_05.byaki,-,7.60,157.30,3.40
53@byaki_05.byaki,-,7.37,159.40,-0.60
53@byaki_05.byaki,-,8.20,159.30,-0.60
53@byaki_05.byaki,-,3.63,161.40,-1.80
53@byaki_05.byaki,-,3.53,164.30,-1.80
53@byaki_05.byaki,-,3.44,170.00,-1.40
53@byaki_05.byaki,-,3.57,174.60,-0.90
53@byaki_05.byaki,-,3.60,179.00,-0.80
53@byaki_05.byaki,-,3.58,182.80,-0.20
53@byaki_05.byaki,-,3.58,186.60,-0.20
53@byaki_05.byaki,-,3.68,206.00,2.70
53@byaki_05.byaki,-,4.24,219.00,2.70
53@byaki_05.byaki,-,4.48,220.90,2.90
53@byaki_05.byaki,-,4.64,231.80,2.20
53@byaki_05.byaki,-,3.80,240.50,3.00
53@byaki_05.byaki,-,3.84,245.40,1.80
53@byaki_05.byaki,-,4.48,252.00,1.60
320@byaki_05.byaki,54@byaki_05.byaki,6.20,266.90,-0.90
54@byaki_05.byaki,-,5.32,309.80,7.50
54@byaki_05.byaki,-,5.34,306.80,5.70
54@byaki_05.byaki,-,5.06,312.30,5.30
54@byaki_05.byaki,-,5.02,320.10,5.10
54@byaki_05.byaki,-,4.46,324.70,5.30
54@byaki_05.byaki,-,4.90,330.40,4.90
54@byaki_05.byaki,-,4.80,335.90,5.80
54@byaki_05.byaki,-,4.57,341.20,4.30
54@byaki_05.byaki,-,4.61,349.50,4.30
54@byaki_05.byaki,-,4.70,359.00,3.50
54@byaki_05.byaki,-,4.60,3.20,-0.80
54@byaki_05.byaki,-,3.78,29.10,-1.90
54@byaki_05.byaki,-,3.73,32.50,-3.40
54@byaki_05.byaki,-,3.57,36.20,-2.90
54@byaki_05.byaki,-,3.43,39.40,-3.60
54@byaki_05.byaki,-,3.42,43.10,-4.10
54@byaki_05.byaki,-,3.40,44.90,-4.30
54@byaki_05.byaki,55@byaki_05.byaki,3.84,29.60,0.50
53@byaki_05.byaki,56@byaki_05.byaki,14.03,58.10,-1.90
56@byaki_05.byaki,-,10.72,249.30,2.80
56@byaki_05.byaki,-,9.86,250.90,3.20
56@byaki_05.byaki,-,9.65,252.80,3.30
56@byaki_05.byaki,-,9.60,255.50,3.10
56@byaki_05.byaki,-,9.70,258.70,3.20
56@byaki_05.byaki,-,9.62,260.60,3.30
56@byaki_05.byaki,-,9.57,262.80,3.20
56@byaki_05.byaki,-,9.46,265.20,3.40
56@byaki_05.byaki,-,8.99,268.60,3.70
56@byaki_05.byaki,-,9.63,271.10,3.50
56@byaki_05.byaki,-,9.52,272.60,3.10
56@byaki_05.byaki,-,9.23,275.20,5.40
56@byaki_05.byaki,-,9.21,278.90,6.30
56@byaki_05.byaki,-,8.96,282.70,7.00
56@byaki_05.byaki,-,8.11,286.90,7.30
56@byaki_05.byaki,-,7.91,290.20,7.30
56@byaki_05.byaki,-,7.28,294.10,6.90
56@byaki_05.byaki,-,6.80,297.20,7.00
56@byaki_05.byaki,-,6.06,283.20,15.40
56@byaki_05.byaki,-,10.81,248.60,2.90
56@byaki_05.byaki,-,8.43,231.70,6.10
56@byaki_05.byaki,-,7.62,226.10,5.80
56@byaki_05.byaki,-,7.18,219.30,6.00
56@byaki_05.byaki,-,7.10,213.90,7.50
56@byaki_05.byaki,-,7.14,219.60,6.30
56@byaki_05.byaki,-,7.11,213.80,7.00
56@byaki_05.byaki,-,7.28,210.20,7.30
56@byaki_05.byaki,-,6.37,204.90,7.50
56@byaki_05.byaki,-,6.34,198.40,8.10
56@byaki_05.byaki,-,6.79,197.40,8.20
56@byaki_05.byaki,-,6.24,192.70,8.50
56@byaki_05.byaki,-,6.14,189.60,9.00
56@byaki_05.byaki,-,6.23,187.90,9.10
56@byaki_05.byaki,-,6.44,181.60,9.80
56@byaki_05.byaki,-,6.60,177.80,9.90
56@byaki_05.byaki,-,9.31,263.40,4.30
56@byaki_05.byaki,-,8.83,268.30,4.60
56@byaki_05.byaki,-,8.87,272.60,4.70
56@byaki_05.byaki,-,9.36,276.50,6.50
56@byaki_05.byaki,-,9.13,278.60,6.00
56@byaki_05.byaki,-,9.05,281.80,6.10
56@byaki_05.byaki,-,9.08,284.00,5.60
56@byaki_05.byaki,-,8.21,287.20,6.60
56@byaki_05.byaki,-,7.59,291.30,6.80
56@byaki_05.byaki,-,6.76,294.50,6.30
56@byaki_05.byaki,-,6.78,296.60,6.10
56@byaki_05.byaki,-,7.01,299.60,5.70
56@byaki_05.byaki,-,6.64,302.30,5.30
56@byaki_05.byaki,-,6.59,307.30,4.80
56@byaki_05.byaki,-,6.55,309.80,4.10
56@byaki_05.byaki,-,6.43,312.50,3.50
56@byaki_05.byaki,-,6.28,316.10,3.10
56@byaki_05.byaki,-,6.77,319.00,2.70
56@byaki_05.byaki,-,7.47,322.00,2.70
56@byaki_05.byaki,-,7.45,324.40,3.00
56@byaki_05.byaki,-,9.73,330.20,3.50
56@byaki_05.byaki,-,9.43,333.10,3.50
56@byaki_05.byaki,-,9.30,335.70,3.80
56@byaki_05.byaki,-,11.06,336.30,0.90
56@byaki_05.byaki,-,8.57,348.10,0.40
56@byaki_05.byaki,-,6.62,350.50,1.00
56@byaki_05.byaki,-,6.25,354.00,1.30
56@byaki_05.byaki,-,6.31,358.50,1.60
56@byaki_05.byaki,-,6.51,2.00,1.10
56@byaki_05.byaki,-,6.64,6.60,1.40
56@byaki_05.byaki,-,6.84,11.10,1.70
56@byaki_05.byaki,-,6.90,14.90,1.60
56@byaki_05.byaki,-,7.18,20.90,1.50
56@byaki_05.byaki,-,7.38,24.00,2.30
56@byaki_05.byaki,-,8.26,27.30,2.40
56@byaki_05.byaki,-,8.57,33.50,1.30
56@byaki_05.byaki,-,8.90,37.20,2.00
56@byaki_05.byaki,-,9.43,40.70,2.50
56@byaki_05.byaki,-,9.68,43.40,1.10
56@byaki_05.byaki,58@byaki_05.byaki,6.95,17.60,0.30
58@byaki_05.byaki,-,7.91,103.70,1.70
58@byaki_05.byaki,-,6.62,107.70,1.30
58@byaki_05.byaki,-,5.42,110.50,0.90
58@byaki_05.byaki,-,5.21,111.80,0.90
58@byaki_05.byaki,-,4.53,117.30,0.30
58@byaki_05.byaki,-,4.20,125.10,-0.40
58@byaki_05.byaki,-,3.75,131.40,-0.60
58@byaki_05.byaki,-,3.72,138.40,-0.90
58@byaki_05.byaki,-,3.67,143.90,-1.30
58@byaki_05.byaki,-,3.66,149.50,-0.20
58@byaki_05.byaki,-,0.39,156.10,7.20
58@byaki_05.byaki,-,3.55,161.70,5.80
58@byaki_05.byaki,-,3.73,170.70,5.60
58@byaki_05.byaki,-,4.41,177.90,5.50
58@byaki_05.byaki,-,4.93,183.40,5.70
58@byaki_05.byaki,-,5.74,189.10,5.60
58@byaki_05.byaki,-,6.27,194.30,4.90
58@byaki_05.byaki,-,6.68,198.00,4.70
58@byaki_05.byaki,-,9.45,235.60,0.60
58@byaki_05.byaki,-,8.96,239.00,0.80
58@byaki_05.byaki,-,8.63,244.10,1.40
58@byaki_05.byaki,-,8.67,247.30,1.50
58@byaki_05.byaki,-,7.68,252.80,1.20
58@byaki_05.byaki,-,6.88,258.20,1.70
58@byaki_05.byaki,60@byaki_05.byaki,7.09,100.60,1.70
60@byaki_05.byaki,-,3.70,103.30,-2.60
60@byaki_05.byaki,-,3.41,99.20,-2.50
60@byaki_05.byaki,-,2.43,89.20,-1.70
60@byaki_05.byaki,-,2.57,77.20,-2.90
60@byaki_05.byaki,-,2.67,65.90,-2.20
60@byaki_05.byaki,-,2.69,63.90,-2.40
60@byaki_05.byaki,-,2.91,41.40,-5.10
60@byaki_05.byaki,-,2.89,31.50,-6.30
60@byaki_05.byaki,-,3.62,23.20,-3.30
60@byaki_05.byaki,-,3.68,4.70,5.00
60@byaki_05.byaki,-,3.61,347.00,9.50
60@byaki_05.byaki,-,3.54,339.90,9.90
60@byaki_05.byaki,-,3.47,339.30,7.90
60@byaki_05.byaki,-,3.46,341.50,10.50
60@byaki_05.byaki,-,3.47,333.50,10.90
60@byaki_05.byaki,-,3.76,319.80,8.10
60@byaki_05.byaki,61@byaki_05.byaki,3.60,96.20,-14.10
61@byaki_05.byaki,-,5.08,139.50,6.40
61@byaki_05.byaki,-,5.81,144.70,9.10
61@byaki_05.byaki,-,5.57,144.90,8.60
61@byaki_05.byaki,-,2.34,151.20,6.80
61@byaki_05.byaki,-,2.16,157.40,6.20
61@byaki_05.byaki,-,2.14,165.60,6.90
61@byaki_05.byaki,-,2.20,169.30,8.40
61@byaki_05.byaki,-,2.58,175.40,9.80
61@byaki_05.byaki,-,2.90,190.80,1.10
61@byaki_05.byaki,-,6.20,182.60,8.90
61@byaki_05.byaki,-,5.71,188.90,7.40
61@byaki_05.byaki,-,5.40,196.70,8.10
61@byaki_05.byaki,-,6.64,203.00,8.30
61@byaki_05.byaki,-,8.02,208.00,8.00
61@byaki_05.byaki,-,8.29,211.40,7.40
61@byaki_05.byaki,-,6.83,205.00,9.10
61@byaki_05.byaki,-,7.79,207.80,9.70
61@byaki_05.byaki,-,8.82,212.90,6.60
61@byaki_05.byaki,-,9.41,216.20,6.10
61@byaki_05.byaki,-,9.85,219.10,6.10
61@byaki_05.byaki,-,0.16,226.80,7.20
61@byaki_05.byaki,-,4.30,228.70,7.00
61@byaki_05.byaki,-,4.14,231.80,7.40
61@byaki_05.byaki,-,4.23,241.30,7.10
61@byaki_05.byaki,-,3.25,249.10,4.60
61@byaki_05.byaki,-,3.26,252.00,3.40
61@byaki_05.byaki,-,4.39,257.30,-0.30
61@byaki_05.byaki,-,4.70,264.10,3.50
61@byaki_05.byaki,62@byaki_05.byaki,9.25,217.00,4.60
62@byaki_05.byaki,-,4.99,278.30,-1.90
62@byaki_05.byaki,-,4.26,282.80,-1.50
62@byaki_05.byaki,-,3.47,295.00,-1.80
62@byaki_05.byaki,-,3.27,302.10,-1.50
62@byaki_05.byaki,-,3.02,310.50,-1.90
62@byaki_05.byaki,-,3.15,319.40,-0.40
62@byaki_05.byaki,-,3.04,330.60,1.30
62@byaki_05.byaki,-,2.95,336.80,2.30
62@byaki_05.byaki,-,3.09,346.70,2.60
62@byaki_05.byaki,-,3.09,349.50,2.80
62@byaki_05.byaki,-,3.22,3.50,2.60
62@byaki_05.byaki,-,3.21,0.60,4.40
62@byaki_05.byaki,-,3.24,3.90,4.70
62@byaki_05.byaki,-,3.63,7.50,5.30
62@byaki_05.byaki,-,3.86,12.20,6.00
62@byaki_05.byaki,-,4.30,14.80,6.30
62@byaki_05.byaki,-,4.89,17.50,7.00
62@byaki_05.byaki,-,5.08,19.80,7.60
62@byaki_05.byaki,-,7.38,45.70,-3.70
62@byaki_05.byaki,-,42.65,47.50,-3.70
62@byaki_05.byaki,-,7.59,50.00,-3.80
62@byaki_05.byaki,63@byaki_05.byaki,5.04,277.10,-2.10
63@byaki_05.byaki,-,9.02,77.10,1.00
63@byaki_05.byaki,-,8.00,80.30,1.10
63@byaki_05.byaki,-,7.31,86.00,2.40
63@byaki_05.byaki,-,6.78,88.20,2.70
63@byaki_05.byaki,-,5.33,91.80,2.20
63@byaki_05.byaki,-,4.76,97.90,2.30
63@byaki_05.byaki,-,4.76,100.30,2.60
63@byaki_05.byaki,-,4.69,103.90,2.90
63@byaki_05.byaki,-,4.73,110.30,3.10
63@byaki_05.byaki,-,4.00,114.60,4.80
63@byaki_05.byaki,-,3.96,118.50,5.00
63@byaki_05.byaki,-,3.64,126.30,5.30
63@byaki_05.byaki,-,3.06,133.40,6.60
63@byaki_05.byaki,-,3.31,138.70,6.90
63@byaki_05.byaki,-,3.48,144.10,8.10
63@byaki_05.byaki,-,3.42,149.50,8.40
63@byaki_05.byaki,-,3.36,155.00,7.90
63@byaki_05.byaki,-,3.36,160.80,7.00
63@byaki_05.byaki,-,3.48,171.70,5.60
63@byaki_05.byaki,-,2.85,183.60,4.50
63@byaki_05.byaki,-,3.37,190.60,4.50
63@byaki_05.byaki,-,3.77,198.70,4.20
63@byaki_05.byaki,-,4.75,208.00,6.00
63@byaki_05.byaki,-,3.98,216.50,4.80
63@byaki_05.byaki,-,4.53,224.00,4.70
63@byaki_05.byaki,-,4.90,229.60,4.80
63@byaki_05.byaki,-,5.50,235.90,1.60
63@byaki_05.byaki,-,6.97,243.10,2.20
63@byaki_05.byaki,-,8.60,247.40,1.70
63@byaki_05.byaki,64@byaki_05.byaki,8.89,245.80,-1.10
64@byaki_05.byaki,-,11.40,49.80,0.80
64@byaki_05.byaki,-,12.30,50.70,1.00
64@byaki_05.byaki,-,8.62,52.80,0.90
64@byaki_05.byaki,-,8.51,51.20,1.00
64@byaki_05.byaki,-,11.59,49.40,0.40
64@byaki_05.byaki,-,11.25,50.10,0.40
64@byaki_05.byaki,-,8.65,53.20,0.60
64@byaki_05.byaki,-,8.56,57.60,0.60
64@byaki_05.byaki,-,8.47,60.80,0.70
64@byaki_05.byaki,-,8.45,63.20,1.20
64@byaki_05.byaki,-,8.68,65.30,2.00
64@byaki_05.byaki,-,12.27,48.70,0.50
62@byaki_05.byaki,65@byaki_05.byaki,11.51,50.80,-1.00
65@byaki_05.byaki,-,3.95,237.20,-4.20
65@byaki_05.byaki,-,3.52,234.70,-4.10
65@byaki_05.byaki,-,2.97,230.60,-4.10
65@byaki_05.byaki,-,2.93,226.80,-3.60
65@byaki_05.byaki,-,3.42,225.10,-3.90
65@byaki_05.byaki,-,6.95,225.50,-0.90
65@byaki_05.byaki,-,6.94,223.70,-0.90
65@byaki_05.byaki,-,6.87,221.90,0.00
65@byaki_05.byaki,-,7.50,220.30,0.20
65@byaki_05.byaki,-,6.54,216.20,0.00
65@byaki_05.byaki,-,6.65,214.60,0.90
65@byaki_05.byaki,-,6.32,212.70,1.10
65@byaki_05.byaki,-,6.57,210.90,1.80
65@byaki_05.byaki,-,6.67,208.60,2.90
65@byaki_05.byaki,-,6.43,206.30,3.00
65@byaki_05.byaki,-,6.18,204.40,3.50
65@byaki_05.byaki,-,4.46,200.40,5.00
65@byaki_05.byaki,-,4.16,197.30,5.90
65@byaki_05.byaki,-,4.52,193.80,6.70
65@byaki_05.byaki,-,4.62,188.40,6.40
65@byaki_05.byaki,-,4.80,184.30,7.20
65@byaki_05.byaki,-,4.91,173.50,8.90
65@byaki_05.byaki,-,4.24,168.30,8.80
65@byaki_05.byaki,-,4.23,161.30,11.90
65@byaki_05.byaki,-,3.84,151.00,12.40
65@byaki_05.byaki,-,3.57,145.30,13.70
65@byaki_05.byaki,-,3.25,135.90,14.60
65@byaki_05.byaki,-,2.91,124.90,16.70
65@byaki_05.byaki,-,3.24,125.30,15.20
65@byaki_05.byaki,66@byaki_05.byaki,4.35,201.70,-6.20
66@byaki_05.byaki,-,3.59,232.30,24.30
66@byaki_05.byaki,-,3.27,238.30,21.40
66@byaki_05.byaki,-,2.92,248.50,17.70
66@byaki_05.byaki,-,3.20,256.10,12.50
66@byaki_05.byaki,-,3.31,258.10,10.60
66@byaki_05.byaki,-,2.15,315.20,4.30
66@byaki_05.byaki,-,1.93,319.10,4.20
66@byaki_05.byaki,-,1.75,324.30,6.20
66@byaki_05.byaki,-,1.72,331.70,9.00
66@byaki_05.byaki,-,1.78,337.70,9.70
66@byaki_05.byaki,-,1.98,345.90,9.70
66@byaki_05.byaki,-,3.04,357.00,11.30
66@byaki_05.byaki,-,3.77,6.20,8.60
66@byaki_05.byaki,-,4.28,15.10,7.60
66@byaki_05.byaki,-,4.38,19.30,6.50
66@byaki_05.byaki,-,4.59,24.80,5.20
66@byaki_05.byaki,-,9.19,35.40,5.00
66@byaki_05.byaki,-,7.78,37.90,5.40
66@byaki_05.byaki,-,7.55,39.50,6.00
66@byaki_05.byaki,-,6.82,43.20,6.50
66@byaki_05.byaki,-,5.91,45.70,7.00
